algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
cql,1,23,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.08209531000000046
cql,1,23,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.04541180000000002
cql,1,47,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.04160413999999985
cql,1,47,0,AVAXUSDT,failed,drawdown_limit,173,-0.07230562528548168,-1.8720119950443572,0.15234816725488876,0.015948858911291868,0.0,0.05087392
cql,1,47,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.06914187000000015
cql,1,47,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.06511811999999978
cql,1,47,0,DOGEUSDT,failed,drawdown_limit,181,-0.05920716913143098,-1.2480856679506398,0.15169342200477498,0.018956545572489235,0.0,0.07284039999999989
cql,1,47,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.08599848000000014
cql,1,47,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.09462931000000016
cql,1,47,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.07802279999999971
cql,1,47,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.055501980000000006
cql,1,47,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.05663131000000009
cql_no_inventory_penalty,1,11,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.03981815999999988
